,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
2610,2610,50089,Blk 51/Opp Pek Kio Mkt,1.31665493432357,103.85044724612105,Owen Rd,KALLANG
2611,2611,50111,Revival Ctr Ch,1.31875833024702,103.84655495764228,Moulmein Rd,NOVENA
2612,2612,50119,St. Joseph Instn Jnr,1.31829503182752,103.8458185038638,Moulmein Rd,NOVENA
2613,2613,50121,Natl Skin Ctr,1.31930304159281,103.84933923160257,Moulmein Rd,NOVENA
2614,2614,50129,Opp Tan Tock Seng Hosp,1.3189880880063998,103.84929028517206,Moulmein Rd,NOVENA
2615,2615,50159,Bef Kim Keat Lane,1.3245606607711298,103.85326623915941,Kim Keat Rd,NOVENA
2616,2616,50161,Bef Jln Dusun,1.3266570061918501,103.84366009715464,Balestier Rd,NOVENA
2617,2617,50169,Aft Irrawaddy Rd,1.32647401158756,103.84420812253343,Balestier Rd,NOVENA
2618,2618,50171,Zhongshan Mall,1.32663388888255,103.84641000001729,Balestier Rd,NOVENA
2619,2619,50179,Opp Zhongshan Mall,1.32640402126103,103.8464203281907,Balestier Rd,NOVENA
2620,2620,50189,Opp Public Mansion,1.32606229603246,103.84849190712966,Balestier Rd,NOVENA
2621,2621,50191,Bef Balestier Plaza,1.3260450000298798,103.84902388888723,Balestier Rd,NOVENA
2622,2622,50199,Opp Shaw Plaza,1.32496824756028,103.85050892832004,Balestier Rd,NOVENA
2623,2623,50201,Shaw Plaza,1.3249047220069599,103.85096555600263,Balestier Rd,NOVENA
2624,2624,50209,Aft Pegu Rd,1.32392782849174,103.85158181192296,Balestier Rd,NOVENA
2625,2625,50211,Opp Balestier Pt,1.32306968689436,103.85256705148909,Balestier Rd,NOVENA
2626,2626,50221,Bef Blk 104,1.32143805851672,103.85303776267591,Balestier Rd,NOVENA
2627,2627,50229,Opp Blk 104,1.32095764720403,103.85283489560972,Balestier Rd,NOVENA
2628,2628,50231,Northlight Sch,1.3187247220145601,103.85492583301323,Balestier Rd,KALLANG
2629,2629,50239,S'pore Indian Assn,1.318301,103.8552335,Balestier Rd,KALLANG
2630,2630,50241,Opp S'pore Khalsa Assn,1.31724802771626,103.8572754498738,Balestier Rd,KALLANG
2631,2631,50249,S'pore Khalsa Assn,1.317187,103.857005,Balestier Rd,KALLANG
2632,2632,50251,Farrer Pk Stn Exit A,1.3124049999814198,103.85486499997728,Rangoon Rd,KALLANG
2633,2633,50259,Opp Farrer Pk Stn,1.31236388897416,103.85507888893756,Rangoon Rd,ROCHOR
2634,2634,50261,Kentish Lodge,1.31608827183208,103.85322332407408,Rangoon Rd,KALLANG
2635,2635,50279,Farrer Pk Stn Exit D,1.31251000009337,103.8526780549204,Gloucester Rd,KALLANG
2636,2636,50301,Kentish Green,1.31587261047802,103.85178565977448,Kent Rd,KALLANG
2637,2637,50321,Aft Gloucester Rd,1.3136845041501,103.85083079337345,Dorset Rd,KALLANG
2638,2638,50331,Blk 122,1.31862919267946,103.85727882383884,Mcnair Rd,KALLANG
2639,2639,50349,Blk 107,1.3193048178340199,103.85957694494822,Towner Rd,KALLANG
2640,2640,50351,Farrer Pk Tennis Ctr,1.3121601543869799,103.84857773804022,Dorset Rd,KALLANG
2641,2641,50991,Blk 82,1.3233798600556899,103.85626145335384,Whampoa Dr,NOVENA
2642,2642,51011,Opp Tan Tong Meng Twr,1.327841667,103.84061109999999,Thomson Rd,NOVENA
2643,2643,51019,Thomson Flyover,1.3289424897379098,103.8406650849602,Thomson Rd,NOVENA
2644,2644,51021,Old Police Academy,1.3304111109999999,103.83913309999998,Thomson Rd,NOVENA
2645,2645,51029,Opp Old Police Academy,1.3302549684081002,103.8397133983878,Thomson Rd,TOA PAYOH
